Country Name,Country Code,"Stocks, Transactions, and Other Flows Name","Stocks, Transactions, and Other Flows Code",Sector Name,Sector Code,Unit Name,Unit Code,Residence Name,Residence Code,Instrument and Assets Classification Name,Instrument and Assets Classification Code,Attribute,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Indicator Code,Global DSD Time Series Code,Unnamed: 64
Bulgaria,918,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,2852000,4464000,11480000,34462000,41748000,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|BG|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Burkina Faso,748,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107534203805,56507776725.7,115427593920,146829261164,161762669900,321049700174,78787253282.5878,268430760275.6,219518000000,117173000000,260226000000,168081000000,187927499900.044,73315354350.7992,342400000000,473994050596.272,330143430695.322,246005671177.369,,GADL_T_G14_XDC,A|BF|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Burundi,618,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282524000000,20100000000,4529430400,242319000000,,,,,,,,GADL_T_G14_XDC,A|BI|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Cabo Verde,624,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5755400000,3309788083.77867,1579747697,1114716969.19194,8978491057,17920890609.0458,16711103217,19299143364.849,21593655420.4665,18323653663.1926,13931233458.4589,9175225318.54255,7265154856.6716,8406926763.62812,10199501329.6243,,GADL_T_G14_XDC,A|CV|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Cambodia,522,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565829403086,746651353322.77,451680976613.96,137329235981.42,541174441024.62,1578322000000,1176877244208.74,1083679447050.2,1511602691309.07,2061323838452.9,463385000000,1763557900000,2461888544647.09,2248577640199.6,1888898570074.16,1768262580498.51,1876835900000,2483817500000,,GADL_T_G14_XDC,A|KH|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Cameroon,622,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,142620000000,74430000000,35210000000,99190000000,-8250000000,,,,,,,,,,,,,,,,,370766400000,560931000000,555700000000,907300000000,521400000000,1102800000000,306783372820.478,,,GADL_T_G14_XDC,A|CM|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Central African Rep.,626,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9440000000,,,,10819174672,,,,,,-2035152373.23302,4999393232.00001,11570478462,-2368563221.00001,-3785303995.99999,,,GADL_T_G14_XDC,A|CF|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Chile,228,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1968000000000,-1796000000000,-1484490000000,-825630000000,100470000000,2485329945730,1961693000000,386682922130.32,20890000000,2405879835252.48,2903378187426.19,5535706241070,5456886000000,3217549990886.02,4248410911311.08,,GADL_T_G14_XDC,A|CL|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"China, P.R.: Macao",546,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GADL_T_G14_XDC,A|MO|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"China, P.R.: Mainland",924,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418010000000,,,319900000000,319180000000,299950000000,240100000000,1705900000000,119690000000,696614000000,731043000000,449640000000,552100000000,918121000000,890853999999.999,1094414000000,1346716000000,1470341000000,1483725000000,,,GADL_T_G14_XDC,A|CN|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
