ID,Dimension_Number,Codelist
GFSE2020,2,CL_AREA_GFSE 2020
GFSE2020,3,CL_SECTOR_GFSE 2020
GFSE2020,4,CL_UNIT_GFSE 2020
GFSE2020,5,CL_INDICATOR_GFSE 2020
GFSR,1,CL_FREQ
GFSR,2,CL_AREA_GFSR
GFSR,3,CL_SECTOR_GFSR
GFSR,4,CL_UNIT_GFSR
GFSR,5,CL_INDICATOR_GFSR
GFSSSUC,1,CL_FREQ
GFSSSUC,2,CL_AREA_GFSSSUC
GFSSSUC,3,CL_SECTOR_GFSSSUC
GFSSSUC,4,CL_UNIT_GFSSSUC
GFSSSUC,5,CL_INDICATOR_GFSSSUC
GFSCOFOG,1,CL_FREQ
GFSCOFOG,2,CL_AREA_GFSCOFOG
GFSCOFOG,3,CL_SECTOR_GFSCOFOG
GFSCOFOG,4,CL_UNIT_GFSCOFOG
GFSCOFOG,5,CL_COFOG_GFSCOFOG
GFSFALCS,1,CL_FREQ
GFSFALCS,2,CL_AREA_GFSFALCS
GFSFALCS,3,CL_SECTOR_GFSFALCS
GFSFALCS,4,CL_UNIT_GFSFALCS
GFSFALCS,5,CL_INDICATOR_GFSFALCS
GFSFALCS,6,CL_COUNTERPART_SECTOR_GFSFALCS
GFSIBS,1,CL_FREQ
GFSIBS,2,CL_AREA_GFSIBS
GFSIBS,3,CL_SECTOR_GFSIBS
GFSIBS,4,CL_UNIT_GFSIBS
GFSIBS,5,CL_GFS_STO_GFSIBS
GFSIBS,6,CL_INSTR_ASSET_GFSIBS
GFSIBS,7,CL_COUNTERPART_AREA_GFSIBS
GFSMAB,1,CL_FREQ
GFSMAB,2,CL_AREA_GFSMAB
GFSMAB,3,CL_SECTOR_GFSMAB
GFSMAB,4,CL_UNIT_GFSMAB
GFSMAB,5,CL_INDICATOR_GFSMAB
GFSE,1,CL_FREQ
GFSE,2,CL_AREA_GFSE
GFSE,3,CL_SECTOR_GFSE
GFSE,4,CL_UNIT_GFSE
GFSE,5,CL_INDICATOR_GFSE
